Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,employee_id,satisfaction_txt,dissatisfaction_txt
36,No,Travel_Frequently,1467,Sales,11,2,Technical Degree,1,2,Female,92,3,3,Sales Executive,4,Married,9738,22952,0,Y,No,14,3,3,80,1,10,6,3,9,7,2,8,118,"Scale, values, ambitions. The company continues to be a strong innovator and technical leader.","Large company, process can be bureaucratic"
36,No,Travel_Rarely,922,Research & Development,3,2,Life Sciences,1,1,Female,39,3,1,Laboratory Technician,4,Divorced,2835,2561,5,Y,No,22,4,1,80,1,7,2,3,1,0,0,0,119,"food, free coffee, bring dog to work","money, benefits, management, hours, compensation"
43,No,Travel_Frequently,394,Sales,26,2,Life Sciences,1,3,Male,92,3,4,Manager,4,Married,16959,19494,1,Y,Yes,12,3,4,80,2,25,3,4,25,12,4,12,120,Work life balance. Interesting work. Everything you need to stay focused. Best in class salary. Healthy work environment.,"Things progress slowly compared to startups, other companies that believe in move fast break things!"
30,No,Travel_Frequently,1312,Research & Development,23,3,Life Sciences,1,1,Male,96,1,1,Research Scientist,3,Divorced,2613,22310,1,Y,No,25,4,3,80,3,10,2,2,10,7,0,9,121,Unbelievably smart people that are driven and want to make an impact,Long hours and lot's of people trying to own the same thing.
33,No,Non-Travel,750,Sales,22,2,Marketing,1,3,Male,95,3,2,Sales Executive,2,Married,6146,15480,0,Y,No,13,3,1,80,1,8,2,4,7,7,0,7,122,Good company culture and work environment,None that I had working there
56,Yes,Travel_Rarely,441,Research & Development,14,4,Life Sciences,1,2,Female,72,3,1,Research Scientist,2,Married,4963,4510,9,Y,Yes,18,3,1,80,3,7,2,3,5,4,4,3,123,Fantastic Work Environment. Great opportunities to advance.,Nothing to say about cons
51,No,Travel_Rarely,684,Research & Development,6,3,Life Sciences,1,1,Male,51,3,5,Research Director,3,Single,19537,6462,7,Y,No,13,3,3,80,0,23,5,3,20,18,15,15,124,really good perks and benefits,none I know so far
31,Yes,Travel_Rarely,249,Sales,6,4,Life Sciences,1,2,Male,76,1,2,Sales Executive,3,Married,6172,20739,4,Y,Yes,18,3,2,80,0,12,3,2,7,7,7,7,125,Pay was excellent. Perks were great. Office was awesome. Lunch was usually delicious.,-I started just before a big reorg. I had 9 different managers in 7 months. Each had a drastically different goal for me to achieve.  -No real vision toward anything groundbreaking in terms of the ad products.  -Way too much ego. One manager actually told
26,No,Travel_Rarely,841,Research & Development,6,3,Other,1,3,Female,46,2,1,Research Scientist,2,Married,2368,23300,1,Y,No,19,3,3,80,0,5,3,2,5,4,4,3,126,"Benefits, people, opportunities for growth, performance management, 360 degree reviews","Large corporation - standardization, spectrum of roles"
58,Yes,Travel_Rarely,147,Research & Development,23,4,Medical,1,4,Female,94,3,3,Healthcare Representative,4,Married,10312,3465,1,Y,No,12,3,4,80,1,40,3,2,40,10,15,6,127,Great perks such as gym bikes and food,Lots of pressure from competition
19,Yes,Travel_Rarely,528,Sales,22,1,Marketing,1,4,Male,50,3,1,Sales Representative,3,Single,1675,26820,1,Y,Yes,19,3,4,80,0,0,2,2,0,0,0,0,128,Life-work balance is excellent. Very generous benefits.,"Bureaucracy, office politics, little room to grow. Too top-heavy."
22,No,Travel_Rarely,594,Research & Development,2,1,Technical Degree,1,3,Male,100,3,1,Laboratory Technician,4,Married,2523,19299,0,Y,No,14,3,3,80,1,3,2,3,2,1,2,1,129,Great place to work at,Have some improvements to make
49,No,Travel_Rarely,470,Research & Development,20,4,Medical,1,3,Female,96,3,2,Manufacturing Director,1,Married,6567,5549,1,Y,No,14,3,3,80,0,16,2,2,15,11,5,11,130,You'll work with the best co-workers in the world and the benefits are world class.,Salary is below market and upward mobility is reserved for few.
43,No,Travel_Frequently,957,Research & Development,28,3,Medical,1,2,Female,72,4,1,Research Scientist,3,Single,4739,16090,4,Y,No,12,3,4,80,0,18,2,3,3,2,1,2,131,Great coworkers and great benefits,Security Management still improving as the department is still young
50,No,Travel_Frequently,809,Sales,12,3,Marketing,1,3,Female,77,3,3,Sales Executive,4,Single,9208,6645,4,Y,No,11,3,4,80,0,16,3,3,2,2,2,1,132,"Good food, workers, workplace, and work life balance",Bad cultural experience in terms of managerial fit
31,Yes,Travel_Rarely,542,Sales,20,3,Life Sciences,1,2,Female,71,1,2,Sales Executive,3,Married,4559,24788,3,Y,Yes,11,3,3,80,1,4,2,3,2,2,2,2,133,Good place to start career with friendly coworkers and good benefits,"Easy to feel like a cog in the wheel, ad-driven business model, internal mobility can be difficult"
41,No,Travel_Rarely,802,Sales,9,1,Life Sciences,1,3,Male,96,3,3,Sales Executive,3,Divorced,8189,21196,3,Y,Yes,13,3,3,80,1,12,2,3,9,7,0,7,134,fun atmosphere and Fun people and good benefits,I have no cons for this comapny
26,No,Travel_Rarely,1355,Human Resources,25,1,Life Sciences,1,3,Female,61,3,1,Human Resources,3,Married,2942,8916,1,Y,No,23,4,4,80,1,8,3,3,8,7,5,7,135,Work on variety of interesting problems,Large company may not be as agile as smaller startups
36,No,Travel_Rarely,216,Research & Development,6,2,Medical,1,2,Male,84,3,2,Manufacturing Director,2,Divorced,4941,2819,6,Y,No,20,4,4,80,2,7,0,3,3,2,0,1,136,"great minds, challenging work, felt sense of achievement after assignment completion",working on multiple projects can be distracting but it is a company need
51,Yes,Travel_Frequently,1150,Research & Development,8,4,Life Sciences,1,1,Male,53,1,3,Manufacturing Director,4,Single,10650,25150,2,Y,No,15,3,4,80,0,18,2,3,4,2,0,3,137,"Good perks, good benefits, generally smart people.",Getting more large and corporate. Promotion process is clunky and slow.
39,No,Travel_Rarely,1329,Sales,4,4,Life Sciences,1,4,Female,47,2,2,Sales Executive,3,Married,5902,14590,4,Y,No,14,3,3,80,1,17,1,4,15,11,5,9,138,NA,NA
25,No,Travel_Rarely,959,Sales,28,3,Life Sciences,1,1,Male,41,2,2,Sales Executive,3,Married,8639,24835,2,Y,No,18,3,4,80,0,6,3,3,2,2,2,2,139,"Perks, food, spaces, culture, health care and work-life balance","Flat org, hard to grow"
30,No,Travel_Rarely,1240,Human Resources,9,3,Human Resources,1,3,Male,48,3,2,Human Resources,4,Married,6347,13982,0,Y,Yes,19,3,4,80,0,12,2,1,11,9,4,7,140,Excellent environment to work for,Office is too comfortable to work for
32,Yes,Travel_Rarely,1033,Research & Development,9,3,Medical,1,1,Female,41,3,1,Laboratory Technician,1,Single,4200,10224,7,Y,No,22,4,1,80,0,10,2,4,5,4,0,4,141,"Best IT Company, Great work-life balance, Talented people","Conversion is hard, they don't care what your internship project"
45,No,Travel_Rarely,1316,Research & Development,29,3,Medical,1,3,Male,83,3,1,Research Scientist,4,Single,3452,9752,5,Y,No,13,3,2,80,0,9,2,2,6,5,0,3,142,Great atmosphere to work in.,Stressful sometimes but that's okay
38,No,Travel_Rarely,364,Research & Development,3,5,Technical Degree,1,4,Female,32,3,2,Research Scientist,3,Single,4317,2302,3,Y,Yes,20,4,2,80,0,19,2,3,3,2,2,2,143,"Forward thinking Tech company. Really fun place to work. Free activities, meals and cafe. Not all play - you will work!","If you are a Temp, Vendor, or Contractor (TVCs) check how long you are allowed to work at Google before you need to take a break in service (often two years and then you must take a six-month break-in-service before returning)."
30,No,Travel_Rarely,438,Research & Development,18,3,Life Sciences,1,1,Female,75,3,1,Research Scientist,3,Single,2632,23910,1,Y,No,14,3,3,80,0,5,4,2,5,4,0,4,144,"Free food, great culture, and talented colleagues",Things move a little bit slow
32,No,Travel_Frequently,689,Sales,9,2,Medical,1,4,Male,35,1,2,Sales Executive,4,Divorced,4668,22812,0,Y,No,17,3,4,80,3,9,2,4,8,7,0,7,145,"Perks were great, as well as being around intelligent people.",Being a contractor I didnâ€™t recrive a lot of responsibility or work. I felt very unused & undervalued
30,No,Travel_Rarely,201,Research & Development,5,3,Technical Degree,1,4,Female,84,3,1,Research Scientist,1,Divorced,3204,10415,5,Y,No,14,3,4,80,1,8,3,3,3,2,2,2,146,NA,"- standard massive company bureaucracy stuff - golden handcuffs - a lot of people tend to end up in positions they are overqualified for and uninterested in, except for the money of course - silicon valley traffic and expenses aren't for everyone. much ea"
30,No,Travel_Rarely,1427,Research & Development,2,1,Medical,1,2,Male,35,2,1,Laboratory Technician,4,Single,2720,11162,0,Y,No,13,3,4,80,0,6,3,3,5,3,1,2,147,"Supportive, Innovative, lots of intelligent people","Departments have poor communication, i.e. creative team and marketing team don't connect well."
41,No,Travel_Frequently,857,Research & Development,10,3,Life Sciences,1,4,Male,91,2,4,Manager,1,Divorced,17181,12888,4,Y,No,13,3,2,80,1,21,2,2,7,6,7,7,148,I hope the feedback is better than i can do on my own,Very lengthy and it gets frustrating to fill out so many things
41,No,Travel_Rarely,933,Research & Development,9,4,Life Sciences,1,3,Male,94,3,1,Laboratory Technician,1,Married,2238,6961,2,Y,No,21,4,4,80,1,7,2,3,5,0,1,4,149,"Benefits, mobility, exposure, talented people around","Too top heavy, less growth within"
19,No,Travel_Rarely,1181,Research & Development,3,1,Medical,1,2,Female,79,3,1,Laboratory Technician,2,Single,1483,16102,1,Y,No,14,3,4,80,0,1,3,3,1,0,0,0,150,great food offered but quality went down a bit with time as employee count went up,pace of work is slow and have too many hires for a small piece of work.
40,No,Travel_Frequently,1395,Research & Development,26,3,Medical,1,2,Female,54,3,2,Research Scientist,2,Divorced,5605,8504,1,Y,No,11,3,1,80,1,20,2,3,20,7,2,13,151,NA,NA
35,No,Travel_Rarely,662,Sales,1,5,Marketing,1,3,Male,94,3,3,Sales Executive,2,Married,7295,11439,1,Y,No,13,3,1,80,2,10,3,3,10,8,0,6,152,O you have got to be kidding me.......,Is ran by a pack of 12 years old kids.........
53,No,Travel_Rarely,1436,Sales,6,2,Marketing,1,2,Male,34,3,2,Sales Representative,3,Married,2306,16047,2,Y,Yes,20,4,4,80,1,13,3,1,7,7,4,5,153,NA,NA
45,No,Travel_Rarely,194,Research & Development,9,3,Life Sciences,1,2,Male,60,3,2,Laboratory Technician,2,Divorced,2348,10901,8,Y,No,18,3,3,80,1,20,2,1,17,9,0,15,154,It provides good work life balance,It is getting too big
32,No,Travel_Frequently,967,Sales,8,3,Marketing,1,2,Female,43,3,3,Sales Executive,4,Single,8998,15589,1,Y,No,14,3,4,80,0,9,2,3,9,8,3,7,155,NA,NA
29,No,Non-Travel,1496,Research & Development,1,1,Technical Degree,1,4,Male,41,3,2,Manufacturing Director,3,Married,4319,26283,1,Y,No,13,3,1,80,1,10,1,3,10,7,0,9,156,Best tech talent Great benefits and perks Exciting projects,Almost too many talented people - so much that incredible talent often is under-utilized Management indecision and planning can lead to constant strategic pivots Big accomplishments are the norm and sometimes not appreciated or recognized
51,No,Travel_Rarely,1169,Research & Development,7,4,Medical,1,2,Male,34,2,2,Manufacturing Director,3,Married,6132,13983,2,Y,No,17,3,3,80,0,10,2,3,1,0,0,0,157,Great work life balance. Employees were all wonderful. Management helps you every step of the way.,No cons. Everything was amazing.
58,No,Travel_Rarely,1145,Research & Development,9,3,Medical,1,2,Female,75,2,1,Research Scientist,2,Married,3346,11873,4,Y,Yes,20,4,2,80,1,9,3,2,1,0,0,0,158,"Good environment, nice people, free stuff","Tough Environment, difficult process, hard work"
40,No,Travel_Rarely,630,Sales,4,4,Marketing,1,3,Male,67,2,3,Sales Executive,4,Married,10855,8552,7,Y,No,11,3,1,80,1,15,2,2,12,11,2,11,159,Cool environment and smart people,Workload can be very stressful at times
34,No,Travel_Frequently,303,Sales,2,4,Marketing,1,3,Female,75,3,1,Sales Representative,3,Married,2231,11314,6,Y,No,18,3,4,80,1,6,3,3,4,3,1,2,160,Very very very nice people,Absolutely no cons to report
22,No,Travel_Rarely,1256,Research & Development,19,1,Medical,1,3,Male,80,3,1,Research Scientist,4,Married,2323,11992,1,Y,No,24,4,1,80,2,2,6,3,2,2,2,2,161,Dynamic and tech savvy teams,"Long working hours. Xfn challenges. Many teams trying to solve the same problem, causes waste"
27,No,Non-Travel,691,Research & Development,9,3,Medical,1,4,Male,57,3,1,Research Scientist,2,Divorced,2024,5970,6,Y,No,18,3,4,80,1,6,1,1,2,2,2,2,162,"Great Pay, Great Flexibility, Nice Coworkers,",None really other than constant work that we never seem to have enough time to complete.
28,No,Travel_Rarely,440,Research & Development,21,3,Medical,1,3,Male,42,3,1,Research Scientist,4,Married,2713,6672,1,Y,No,11,3,3,80,1,5,2,1,5,2,0,2,163,"Good place to work, good pay","High expectations, lots of bosses"
57,No,Travel_Rarely,334,Research & Development,24,2,Life Sciences,1,3,Male,83,4,3,Healthcare Representative,4,Divorced,9439,23402,3,Y,Yes,16,3,2,80,1,12,2,1,5,3,1,4,164,"Good pay, good environment, smart people","high housing price, heavy work load"
27,No,Non-Travel,1450,Research & Development,3,3,Medical,1,3,Male,79,2,1,Research Scientist,3,Divorced,2566,25326,1,Y,Yes,15,3,4,80,1,1,2,2,1,1,0,1,165,Awesome work environment and benefits,no cons as such for Google
50,No,Travel_Rarely,1452,Research & Development,11,3,Life Sciences,1,3,Female,53,3,5,Manager,2,Single,19926,17053,3,Y,No,15,3,2,80,0,21,5,3,5,4,4,4,166,Super fun in my opinion,Dont read this okay alright
41,No,Travel_Rarely,465,Research & Development,14,3,Life Sciences,1,1,Male,56,3,1,Research Scientist,3,Divorced,2451,4609,4,Y,No,12,3,1,80,1,13,2,3,9,8,1,8,167,Nice culture. Nice manager. Work life balance.,The interview process is very long.
30,No,Travel_Rarely,1339,Sales,5,3,Life Sciences,1,2,Female,41,3,3,Sales Executive,4,Married,9419,8053,2,Y,No,12,3,3,80,1,12,2,3,10,9,7,4,168,New challenges everyday with some of the best technologies on earth,Keeping job title and pay correct
38,No,Travel_Rarely,702,Sales,1,4,Life Sciences,1,1,Female,59,2,2,Sales Executive,4,Single,8686,12930,4,Y,No,22,4,3,80,0,12,2,4,8,3,0,7,169,work life balance is good,growth is slow and complicated.
32,No,Travel_Rarely,120,Research & Development,6,5,Life Sciences,1,3,Male,43,3,1,Research Scientist,3,Single,3038,12430,3,Y,No,20,4,1,80,0,8,2,3,5,4,1,4,170,"Life balance, the cultural is the best.","I dont really have Cons at this moment,."
27,No,Travel_Rarely,1157,Research & Development,17,3,Technical Degree,1,3,Male,51,3,1,Research Scientist,2,Married,3058,13364,0,Y,Yes,16,3,4,80,1,6,3,2,5,2,1,1,171,"No work pressure,Friendly,Will have access to everything",nothing i can think of
19,Yes,Travel_Frequently,602,Sales,1,1,Technical Degree,1,3,Female,100,1,1,Sales Representative,1,Single,2325,20989,0,Y,No,21,4,1,80,0,1,5,4,0,0,0,0,172,The culture - the people are amazing! Hands down some of the smartest people you'll ever work with,It can be very large and bureaucratic at times
36,No,Travel_Frequently,1480,Research & Development,3,2,Medical,1,4,Male,30,3,1,Laboratory Technician,2,Single,2088,15062,4,Y,No,12,3,3,80,0,13,3,2,8,7,7,2,173,"Staff are kind, compassionate, and more importantly, they are willing to Google your questions for you. :)","Sometimes people decided to use Bing rather than Google, which made me shed quite more than just a few fragile teardrops."
30,No,Non-Travel,111,Research & Development,9,3,Medical,1,3,Male,66,3,2,Laboratory Technician,1,Divorced,3072,11012,1,Y,No,11,3,3,80,2,12,4,3,12,9,6,10,174,"Great benefits, awesome perks, smart people",Takes a long time to get things done
45,No,Travel_Rarely,1268,Sales,4,2,Life Sciences,1,3,Female,30,3,2,Sales Executive,1,Divorced,5006,6319,4,Y,Yes,11,3,1,80,1,9,3,4,5,4,0,3,175,Best place to work and grow,It's getting too big and crowded
56,No,Travel_Rarely,713,Research & Development,8,3,Life Sciences,1,3,Female,67,3,1,Research Scientist,1,Divorced,4257,13939,4,Y,Yes,18,3,3,80,1,19,3,3,2,2,2,2,176,Everyone here is wicked smart,"Too many unhealthy snacks and too many massages ,)"
33,No,Travel_Rarely,134,Research & Development,2,3,Life Sciences,1,3,Male,90,3,1,Research Scientist,4,Single,2500,10515,0,Y,No,14,3,1,80,0,4,2,4,3,1,0,2,177,"Awesome benefits, great company culture","Disorganized, poor hiring practices, not honest about gender equity issues"
19,Yes,Travel_Rarely,303,Research & Development,2,3,Life Sciences,1,2,Male,47,2,1,Laboratory Technician,4,Single,1102,9241,1,Y,No,22,4,3,80,0,1,3,2,1,0,1,0,178,Good work environment is good for me.,I dont think there is any cons.
46,No,Travel_Rarely,526,Sales,1,2,Marketing,1,2,Female,92,3,3,Sales Executive,1,Divorced,10453,2137,1,Y,No,25,4,3,80,3,24,2,3,24,13,15,7,179,"Great place to work, friendly people",Very busy schedule and high demands
38,No,Travel_Rarely,1380,Research & Development,9,2,Life Sciences,1,3,Female,75,3,1,Laboratory Technician,4,Single,2288,6319,1,Y,No,12,3,3,80,0,2,3,3,2,2,2,1,180,You can balance work and life here. Good benefits for engineers.,You may not be able to participate in some interesting projects in the beginning.
31,No,Travel_Rarely,140,Research & Development,12,1,Medical,1,3,Female,95,3,1,Research Scientist,4,Married,3929,6984,8,Y,Yes,23,4,3,80,1,7,0,3,4,2,0,2,181,"Rewarding, good teamwork, cool locations","Exhausting, Low pay, long commute, grunt work"
34,No,Travel_Rarely,629,Research & Development,27,2,Medical,1,4,Female,95,3,1,Research Scientist,2,Single,2311,5711,2,Y,No,15,3,4,80,0,9,3,3,3,2,1,2,182,good benefits. work life balance. low pressure,very political environment. too many layers. Communication overheads.
41,Yes,Travel_Rarely,1356,Sales,20,2,Marketing,1,2,Female,70,3,1,Sales Representative,2,Single,3140,21728,1,Y,Yes,22,4,4,80,0,4,5,2,4,3,0,2,183,Awesome Perks! In addition you actually get to work on real projects unlike many internships similar to it.,One con is that you are not encouraged to work overtime.
50,No,Travel_Rarely,328,Research & Development,1,3,Medical,1,3,Male,86,2,1,Laboratory Technician,3,Married,3690,3425,2,Y,No,15,3,4,80,1,5,2,2,3,2,0,2,184,NA,NA
53,No,Travel_Rarely,1084,Research & Development,13,2,Medical,1,4,Female,57,4,2,Manufacturing Director,1,Divorced,4450,26250,1,Y,No,11,3,3,80,2,5,3,3,4,2,1,3,185,"Great work environment, great product",Everything about working here is great
33,No,Travel_Rarely,931,Research & Development,14,3,Medical,1,4,Female,72,3,1,Research Scientist,2,Married,2756,4673,1,Y,No,13,3,4,80,1,8,5,3,8,7,1,6,186,"Good pay, benefits, and free food.",Spend more time sending emails than doing actual work.
40,No,Travel_Rarely,989,Research & Development,4,1,Medical,1,4,Female,46,3,5,Manager,3,Married,19033,6499,1,Y,No,14,3,2,80,1,21,2,3,20,8,9,9,187,"I was at Google for over 10+ years and canâ€™t say enough about what a great company it was to work for. They have outstanding benefits, pay, culture and opportunities for growth. While there, I felt the company lived by their motto, â€œDonâ€™t Be Evilâ€ and later â€œDo the Right Thing.â€ It wasnâ€™t a marketing tactic, it was how they conducted business. Companies continue to try and model their best practices.",It is a performance culture so be prepared to work hard and smart.
55,No,Travel_Rarely,692,Research & Development,14,4,Medical,1,3,Male,61,4,5,Research Director,2,Single,18722,13339,8,Y,No,11,3,4,80,0,36,3,3,24,15,2,15,188,Good work and challenging projects.,Bad management. Too much politics.
34,No,Travel_Frequently,1069,Research & Development,2,1,Life Sciences,1,4,Male,45,2,2,Manufacturing Director,3,Married,9547,14074,1,Y,No,17,3,3,80,0,10,2,2,10,9,1,9,189,NA,NA
51,No,Travel_Rarely,313,Research & Development,3,3,Medical,1,4,Female,98,3,4,Healthcare Representative,2,Single,13734,7192,3,Y,No,18,3,3,80,0,21,6,3,7,7,1,0,190,It's Google. The benefits are great. The people you work with every day are incredibly smart. The environment can be an addicting place to work in.,"Google is still a big company, so personal/career growth can be slow. Find the right people internally to act as your champions and you'll be fine."
52,No,Travel_Rarely,699,Research & Development,1,4,Life Sciences,1,3,Male,65,2,5,Manager,3,Married,19999,5678,0,Y,No,14,3,1,80,1,34,5,3,33,18,11,9,191,everything is good at google,there is currently no cons at google
27,No,Travel_Rarely,894,Research & Development,9,3,Medical,1,4,Female,99,3,1,Research Scientist,2,Single,2279,11781,1,Y,No,16,3,4,80,0,7,2,2,7,7,0,3,192,"Great team, high level work output, very principled",Performance review and promotion process has a lot of room for improvement across Google
35,Yes,Travel_Rarely,556,Research & Development,23,2,Life Sciences,1,2,Male,50,2,2,Manufacturing Director,3,Married,5916,15497,3,Y,Yes,13,3,1,80,0,8,1,3,1,0,0,1,193,NA,NA
43,No,Non-Travel,1344,Research & Development,7,3,Medical,1,4,Male,37,4,1,Research Scientist,4,Divorced,2089,5228,4,Y,No,14,3,4,80,3,7,3,4,5,4,2,2,194,"Great culture, pays well, balanced.",High living cost of the area
45,No,Non-Travel,1195,Research & Development,2,2,Medical,1,1,Male,65,2,4,Manager,4,Married,16792,20462,9,Y,No,23,4,4,80,1,22,1,3,20,8,11,8,195,Great company to work with,Extremely hardworking team and requires lot of time commitment
37,No,Travel_Rarely,290,Research & Development,21,3,Life Sciences,1,2,Male,65,4,1,Research Scientist,1,Married,3564,22977,1,Y,Yes,12,3,1,80,1,8,3,2,8,7,1,7,196,NA,NA
35,No,Travel_Frequently,138,Research & Development,2,3,Medical,1,2,Female,37,3,2,Laboratory Technician,2,Single,4425,15986,5,Y,No,11,3,4,80,0,10,5,3,6,2,1,2,197,"scale, impact, tech, fun, people","politics, slow, lostmojo, old company"
42,No,Non-Travel,926,Research & Development,21,2,Medical,1,3,Female,36,3,2,Manufacturing Director,3,Divorced,5265,16439,2,Y,No,16,3,2,80,1,11,5,3,5,3,0,2,198,Great food and perks!,None! What a great place to work!
38,No,Travel_Rarely,1261,Research & Development,2,4,Life Sciences,1,4,Male,88,3,2,Manufacturing Director,3,Married,6553,7259,9,Y,No,14,3,2,80,0,14,3,3,1,0,0,0,199,Because it is a wonderful global company,There are no negative aspects to work in Google
38,No,Travel_Rarely,1084,Research & Development,29,3,Technical Degree,1,4,Male,54,3,2,Manufacturing Director,4,Married,6261,4185,3,Y,No,18,3,1,80,1,9,3,1,7,7,1,7,200,Very transparent company despite its size. Managers and colleagues help with your personal and career growth.,No real complaints. I wish I could've stayed.
27,No,Travel_Frequently,472,Research & Development,1,1,Technical Degree,1,3,Male,60,2,2,Manufacturing Director,1,Married,4298,9679,5,Y,No,19,3,3,80,1,6,1,3,2,2,2,0,201,"Great colleagues, focus on work life / balance, perks and salary.",Lots of projects created to give people work and too many cooks for each project
49,No,Non-Travel,1002,Research & Development,18,4,Life Sciences,1,4,Male,92,3,2,Manufacturing Director,4,Divorced,6804,23793,1,Y,Yes,15,3,1,80,2,7,0,3,7,7,1,7,202,Innovation opportunities to learn and grow,"Bureaucracy, management politics and bias"
34,No,Travel_Frequently,878,Research & Development,10,4,Medical,1,4,Male,43,3,1,Research Scientist,3,Divorced,3815,5972,1,Y,Yes,17,3,4,80,1,5,4,4,5,3,2,0,203,Nice work environment with good mix of people,No such that I noticed
40,No,Travel_Rarely,905,Research & Development,19,2,Medical,1,3,Male,99,3,2,Laboratory Technician,4,Married,2741,16523,8,Y,Yes,15,3,3,80,1,15,2,4,7,2,3,7,204,"Overall, an unarguably fantastic place to work.","Little focus on retention, career development outside of one's org, or building transferrable skills. The larger the company grows, the more issues with defined roles, silos tend to manifest."
38,Yes,Travel_Rarely,1180,Research & Development,29,1,Medical,1,2,Male,70,3,2,Healthcare Representative,1,Married,6673,11354,7,Y,Yes,19,3,2,80,0,17,2,3,1,0,0,0,205,"Great culture, amazing career opportunities, super interesting projects",Best company I've ever worked for
29,Yes,Travel_Rarely,121,Sales,27,3,Marketing,1,2,Female,35,3,3,Sales Executive,4,Married,7639,24525,1,Y,No,22,4,4,80,3,10,3,2,10,4,1,9,206,"Great team culture, love the place.",Google is now a big company.
22,No,Travel_Rarely,1136,Research & Development,5,3,Life Sciences,1,4,Male,60,4,1,Research Scientist,2,Divorced,2328,12392,1,Y,Yes,16,3,1,80,1,4,2,2,4,2,2,2,207,Great opportunities for personal growth,Fast paced and highly demanding
36,No,Travel_Frequently,635,Research & Development,18,1,Medical,1,2,Female,73,3,1,Laboratory Technician,4,Single,2153,7703,1,Y,No,13,3,1,80,0,8,2,3,8,1,1,7,208,"Great work environment, can work with many talented engineers.",Google becomes too big to get many career oppotunities.
40,No,Non-Travel,1151,Research & Development,9,5,Life Sciences,1,4,Male,63,2,2,Healthcare Representative,4,Married,4876,14242,9,Y,No,14,3,4,80,1,5,5,1,3,2,0,2,209,"Relaxing working environment, pets allowed.",Pay not as good as to financial institutions in New York City.
46,No,Travel_Rarely,644,Research & Development,1,4,Medical,1,4,Male,97,3,3,Healthcare Representative,1,Divorced,9396,12368,7,Y,No,16,3,3,80,1,17,3,3,4,2,0,3,210,"ceo, work life balance, projects",Sometimes interns were not given enough of an opinion
32,Yes,Travel_Rarely,1045,Sales,4,4,Medical,1,4,Male,32,1,3,Sales Executive,4,Married,10400,25812,1,Y,No,11,3,3,80,0,14,2,2,14,8,9,8,211,"Good working environment, flexible working time","Big company, hard to get promotion unless with aggressive team and leader"
30,No,Non-Travel,829,Research & Development,1,1,Life Sciences,1,3,Male,88,2,3,Manufacturing Director,3,Single,8474,20925,1,Y,No,22,4,3,80,0,12,2,3,11,8,5,8,212,Perks perks perks perks perks.,California just wasn't for me.
27,No,Travel_Frequently,1242,Sales,20,3,Life Sciences,1,4,Female,90,3,2,Sales Executive,3,Single,9981,12916,1,Y,No,14,3,4,80,0,7,2,3,7,7,0,7,213,People are excellent and most have good intentions. Company has ambitious objectives and has grown remarkably. High quality senior leadership.,Too many cultural disputes takes away from shared objectives.
51,No,Travel_Rarely,1469,Research & Development,8,4,Life Sciences,1,2,Male,81,2,3,Research Director,2,Married,12490,15736,5,Y,No,16,3,4,80,2,16,5,1,10,9,4,7,214,"Massages, Perks, Food, cutting edge tech",Developers get too theoretical so we end up not delivering anything
30,Yes,Travel_Rarely,1005,Research & Development,3,3,Technical Degree,1,4,Female,88,3,1,Research Scientist,1,Single,2657,8556,5,Y,Yes,11,3,3,80,0,8,5,3,5,2,0,4,215,"Smart, collaborative people Good salary and benefits Welcoming culture",Hard to grow outside Mountain View
41,No,Travel_Rarely,896,Sales,6,3,Life Sciences,1,4,Female,75,3,3,Manager,4,Single,13591,14674,3,Y,Yes,18,3,3,80,0,16,3,3,1,0,0,0,216,My dream in one time work in google and you gave me chance am try to best for google,Trying something new with google and sunder pichai
30,Yes,Travel_Frequently,334,Sales,26,4,Marketing,1,3,Female,52,2,2,Sales Executive,1,Single,6696,22967,5,Y,No,15,3,3,80,0,9,5,2,6,3,0,1,217,Diverse culture and set of opportunities.,"Large corporation, very different businesses, original Google culture getting lost."
29,Yes,Travel_Rarely,992,Research & Development,1,3,Technical Degree,1,3,Male,85,3,1,Research Scientist,3,Single,2058,19757,0,Y,No,14,3,4,80,0,7,1,2,6,2,1,5,218,A great program to start your CS career and highly recommend any college freshman and sophomore to apply.,"Bay area housing -- the relocation bonus is not enough to cover all of the living costs. Need to find the right team on a topic that you love, otherwise it could be quite boring (and lonely?)"
45,No,Non-Travel,1052,Sales,6,3,Medical,1,4,Female,57,2,3,Sales Executive,4,Single,8865,16840,6,Y,No,12,3,4,80,0,23,2,3,19,7,12,8,219,"Great attention to employee needs and happyness. Work with best and the brightest. Very positive attitude at work, openness and all voices count when it comes to company prosperity.","The organizations grow very fast, lots of unnecessary mid-management, who waist peoples presios time , just to justify their salaries."
